;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,
EVTNAME10225;Hungarian Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10225;The Hungarian nobility has grown increasingly nationalistic and liberal in recent years. The cities and countryside have become increasingly unruly, a violent and dangerous place for Bohemian officials and Czechs. In response, the Bohemian government ordered the Hungarian Diet dissolved and the replacement of the Governing Council with a single governor, Count Jirí Lukavský of Olomouc. The Hungarians have refused to obey, and thus we now face civil war to maintain the integrity of the realm.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC203776;Thanks to increased awareness of the fascist platform amongst our people, the fascist organizations within our nation have begun to go public in their demonstrations. They have begun to stalk the streets, intimidating others, and have attacked their communist ideological enemies. This roughhousing may or may not be good for the nation, but we can't explicitly support one side or the other without changing our regime or committing political suicide.;;;;;;;;;;;;;x,,,,,,
EVTDESC203775;A group of far-right extremists has begun to organize within the country, and their pamphlets have recently become a thorn in our regime's side. Their views are on the fringe, and their methods of spreading their views have been clandestine so far. They preach order, unity, strength, homogenous cultures, and national exceptionalism, and while this may please the common man, they are still a potential threat to our regime.;;;;;;;;;;;;;x,,
EVTDESC203772;The recently-elected Communist party has used its position of superiority to maneuver around the country. Their plans have come to fruition, and through legalistic means, they have turned the country into a dictatorship nominally headed by their council. Although they promise to bring the nation to a new era of equality and prosperity for all, their inflammatory rhetoric and alleged deeds is seen by some as an affront to invidualism and humanity itself. The supporters of the right will, of course, be mad about this, but only time will tell whether or not this new regime will be successful.;;;;;;;;;;;;;x,,,,
EVTDESC203771;The recently-elected Fascist party has used its position of superiority to maneuver around the country. Their plans have come to fruition, and through legalistic means, they have turned the country into a dictatorship headed by their Leader. Although they promise to bring the nation to a new era of prosperity and strength, their brutal methods and recent disregard for the law is seen by some as an affront to humanity itself. The supporters of the left will, of course, be mad about this, but only time will tell whether or not this new regime will be successful.;;;;;;;;;;;;;x,,,,
EVTDESC203770;Slavery, that ever-controversial policy, has continued on in our nation.;;;;;;;;;;;;;x,,,,,,,,
EVTDESC199034;Unemployment among workers in $PROVINCENAME$ is high, but a possible bright spot is the emergence of several new grain farms. Local officials are suggesting that the $COUNTRY_ADJ$ support the farms and allow them to become $PROVINCENAME$'s new major industry.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC199033;Unemployment among workers in $PROVINCENAME$ is high, but a possible bright spot is the emergence of several cattle ranches. Local officials are suggesting that the $COUNTRY_ADJ$ support the ranches and allow them to become $PROVINCENAME$'s new major industry.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC199032;Unemployment among workers in $PROVINCENAME$ is high, but a possible bright spot is the emergence of several tropical lumberyards. Local officials are suggesting that the $COUNTRY_ADJ$ support the lumberyards and allow them to become $PROVINCENAME$'s new major industry.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC199031;Unemployment among workers in $PROVINCENAME$ is high, but a possible bright spot is the emergence of several lumberyards. Local officials are suggesting that the $COUNTRY_ADJ$ support the lumberyards and allow them to become $PROVINCENAME$'s new major industry.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC199030;Unemployment among workers in $PROVINCENAME$ is high, and many have begun turning to the sea to eke out a living. Local officials are suggesting that the $COUNTRY_ADJ$ support them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC199023;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case sugar, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting sugar production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199022;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case silk, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting silk production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199021;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case coffee, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting coffee production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199020;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops, in this case tobacco, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting tobacco production.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC199019;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case fruit, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting fruit production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199018;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops, in this case sheep and wool, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting wool production.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC199017;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case spices, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting spice production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199016;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case tea, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting tea production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199015;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case cotton, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting cotton production.;;;;;;;;;;;;x,,,,,,,
EVTDESC199009;We have reports from $PROVINCENAME$ that a new vein of sulphur has been discovered, and considering the unemployment in $PROVINCENAME$ this might prove to be a boon indeed.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC199008;We have reports from $PROVINCENAME$ that a new vein of lead has been discovered, and considering the unemployment in $PROVINCENAME$ this might prove to be a boon indeed.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC199007;We have reports from $PROVINCENAME$ that a new vein of iron has been discovered, and considering the unemployment in $PROVINCENAME$ this might prove to be a boon indeed.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC199006;We have reports from $PROVINCENAME$ that a new vein of copper has been discovered, and considering the unemployment in $PROVINCENAME$ this might prove to be a boon indeed.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC199005;We have reports from $PROVINCENAME$ that a new vein of coal has been discovered, and considering the unemployment in $PROVINCENAME$ this might prove to be a boon indeed.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC164602;Members of the proto-nationalist Yihetuan Movement, also known as the Boxers, have staged an uprising in $PROVINCENAME$. While the uprising was initially put down by $COUNTRY_ADJ$ forces, news of the movement's presence has spread throughout $STATENAME$ and already there are more reports of clashes.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC164601;Revolutionaries seeking to bring down the $COUNTRY_ADJ$ monarchy have been stirring up a revolt in $STATENAME$. The incident appears to have begun in $PROVINCENAME$, after a demonstration by local workers turned violent. Though authorities have already moved in, the damage is done. What remains is to determine how we react to this outrageous provocation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC164600;Revolutionary societies are springing up all over China, and recently we have received word that several of these societies have banded together as the Tongmenghui or 'Chinese United League'. Their stated goal is the revival of Zhonghua, or the concept that China should be a nation ruled by a republic that represents all of its various peoples. These revolutionaries wish to see $COUNTRY$ freed of foreigner influence, and do not seem satisifed to wait and see what reforms the $COUNTRY_ADJ$ monarchy will provide. What's more worrying is that some of the regional warlords appear to be assisting them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC164599;The forces of revolution have turned against the $COUNTRY_ADJ$ Emperor. With dissent threatening to spread into chaos, leaders of the Beiyang army have demanded the Emperor abdicate his throne. Cheering crowds in $CAPITAL$ greeted the news, but few are aware of the forces now lining up to take control of the government. Kuomintang revolutionaries have demanded a transformation of $COUNTRY$ into a republic with free elections. Army leaders, however, have threatened to oppose the Kuomintang and demanded the republic be under strict Beiyang control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC164505;Reports have arrived at the palace that a firewood seller has taken to walking the Southlands, claiming to speak with the voice of God. Regardless of his seeming madness, the man has proven very effective at spreading the word of the so-called 'Heavenly Kingdom'.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC164504;The man behind the so-called 'Heavenly Kingdom' has been given a name: Hong Xiuquan. A former farmer who attempted the civil service examinations in Guangzhou and failed, he has now become a charismatic visionary taking advantage of anti-Manchu sentiment in the south. Some say he is crazed and mad, but regardless he is a danger to the Qin Dynasty and his words are finding eager ears.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC164503;A troublemaker has arisen in the southern lands. According to reports, this man claims to have received a vision to the effect that he is the younger brother of Jesus Christ and was sent to rid China of the corrupt Manchu Qin Dynasty rulers. He has been winning converts to Christianity, and it seems there are many willing to listen to his words of sedition and join his so-called 'Heavenly Kingdom'.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC162503;The followers of the so-called 'Heavenly Kingdom' have infested yet another province. According to officials in $PROVINCENAME$, followers of Hong Xiuquan have been spotted and sentiment against the Qin Dynasty is on the rise.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC160502;Emperor, our officials have detected growing levels of discontent and even hostility towards our Dynasty. This feeling is enflamed by the humiliating presence of the foreign devils in our cities and harbors. How shall we respond?;;Herrscher, die Offiziellen berichten von einer wachsenden Welle des Unfriedens und sogar der Feindschaft gegen unsere Dynastie. Dieses Gefühl wird noch verstärkt durch die Anwesenheit der fremden Teufel in unseren Städten und Häfen. Wie sollen wir darauf reagieren?;;;;;;;;;;;x;,,,,,,,,
EVTDESC160501;Christian missionaries are stirring up trouble in southern China, handing out pamphlets in an effort to gain converts. This would not be so objectionable were the pamphlet not also preaching sedition against the Qin Dynasty. The fact that so many in $PROVINCENAME$ are willing to listen to these fools is worrying.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC160026;With our holdings on the mainland lost, all we have left is our stronghold on the island of Formosa. The suggestion among what little remains of the $COUNTRY_ADJ$ government is that we abandon $CAPITAL$ and move the capital to Taibei. This does not guarantee our safety by any means, but it may be the only means of survival we possess.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC160025;Our beloved leader, the glorious and most holy Hong Xiuquan, has passed away-- ascended into Heaven to receive his just rewards from God. Those of us who remain must now look to what will become of the Heavenly Kingdom without his guidance. There are some who say that his son, Hong Tianguifu, should be given the reins of power. Others say that Hong Tianguifu is a buffoon and that a proper republic is the way forward. Still others say the unthinkable-- that Hong Xiuquan's death is a sign that the Heavenly Kingdom has lost favor with God, and that the only way to restore it is restore the Qin Dynasty to the Imperial throne-- without, of course, allowing the Manchu to rule the south like errant lapdogs.;;;;;;;;;;;;x,,,
EVTDESC160020;The followers of the so-called 'Heavenly Kingdom' have spread their influence even further. According to officials in $STATENAME$, the Christian rebels have been spotted in $PROVINCENAME$ and sentiment against the Qin Dynasty is on the rise throughout the entire state.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC160017;Followers of the 'Heavenly Kingdom' are causing further problems in the south. They are already heavily fortified within $PROVINCENAME$, and many Qin advisors consider it completely beyond our control. Anarchy seems rampant, and all throughout $STATENAME$ these rebels are shouting treason. Can nobody do something about this?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC160016;Reports have arrived at the palace that a firewood seller by the name of Yang Xiuqing has taken to walking the Southlands, claiming to speak with the voice of God. Regardless of his seeming madness, the man has proven very effective at spreading the word of the so-called 'Heavenly Kingdom'.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC160013;To many people in China, the Qin Dynasty is seen as ineffective and corrupt, ruled by Manchu foreigners. Bitter hatred has been stirring, particularly in the south. This is especially true in $STATENAME$, where there are reports of rioting after a recent confrontation between locals and Manchu officials.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC160012;We have received reports of Christian missionaries in $PROVINCENAME$, followers of the so-called 'Heavenly Kingdom'. Their actions would not be so objectionable if they were not also preaching sedition against the Manchu-- and, far worse, though provincial governors have attempted to halt the missionaries this has only seemed to stir up support for them even further. There are sightings of their pamphlets all over $STATENAME$ now!;;;;;;;;;;;;x,,,,,,,
EVTDESC160011;Due to the low value assigned to the birth of daughters, female infanticide has become wide-spread across much of China. The practice has become so common, in fact, it has led to a shortage of women.;;;;;;;;;;;;x,,,,,,,
EVTDESC160009;A troublemaker has arisen in the southern lands. According to reports, this man claims to have received a vision to the effect that he is the younger brother of Jesus Christ and was sent to rid China of the corrupt Qin Dynasty rulers. He has been winning converts to Christianity, and it seems there are many willing to listen to his words of sedition and join his so-called 'Heavenly Kingdom'.;;;;;;;;;;;;x,,,,,,,,
EVTDESC160008;We have overthrown the hated Manchu and taken control of all China. Now, as the world watches, the true test comes: transforming the nation into the true Heavenly Kingdom.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC160007;The truce with the Qin Emperor has come to an end, and already the calls have begun for the Taiping Revolution to continue. The Manchu must be thrown down! All of China must be freed!;;;;;;;;;;;;x,,,,,,,,,
EVTDESC160006;The continued existence of the Taiping rebels is an embarassment to the Qin government and our Emperor. Calls have been made for the war to resume, and this time for a national effort be started to draft men into the Qin army. There will be considerable resistance, but the Emperor has decreed that the Heavenly Kingdom must be destroyed!;;;;;;;;;;;;x,,,,,,,,
EVTDESC160004;Though we are not yet done battling the hated Manchu, for the moment the Heavenly Kingdom claims victory. We have forced a truce, and now the Manchu will need to deal with rebellions across their land as the people realize their mandate to rule no longer exists. All the world watches us.;;;;;;;;;;;;x,,,,,,,,
EVTDESC160003;Even though we are not yet done with the 'Heavenly Kingdom', the fact the rebels have forced us to a ceasefire and have not been crushed is being taken by our Chinese subjects as a sign of weakness. Officials are predicting rebellions in many other places in the years to come.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC160002;We have crushed the 'Heavenly Kingdom', and proven to all of China that the Qin Dynasty yet maintains the Mandate of Heaven. We will abide no more insurrections.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC160001;We are receiving disturbing reports of anarchy in southern China. A peasant army led by the rebels Feng Yunshan and Wei Changhui has declared the ascendance of the so-called 'Heavenly Kingdom' and driven out local governors. All within the Qin government agree that we cannot recognize these rebels as having credence-- if we do, it raises the question of whether the Mandate of Heaven is still held by the Imperial throne. That cannot be allowed, and thus the governors must be given the opportunity to crush the rebels and restore order in the Emperor's name.;;;;;;;;;;;;x,,,,,,,,
EVTDESC160001;A great rebellion has sundered all under Heaven!;;Eine große Rebellion hat alle unter den Weiten des Himmels aufgespalten.;;;;;;;;;;;x;,,,,,,,,,,
EVTDESC131746;Now that we own the island of Formosa, the local Min population has begun to organize itself-- presumably towards the end of breaking away from $COUNTRY_ADJ$ control.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC131745;The call has come from the capital: the era of warlords is over, and all the Chinese peoples must unite under a single flag. This means $COUNTRY$ must either submit to Beijing's rule or face more war against a strong and unified foe. Your generals stand ready to receive your command.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC131743;We have received reports that the $FROMCOUNTRY_ADJ$ army is massing on our mutual border, ready to make a massive offensive into $COUNTRY_ADJ$ territory. It seems a war is upon us, whether we like it or not: either they destroy us or we destroy them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC131742;The $COUNTRY_ADJ$ people are crying out for the nation to once again unify. We must gather our strength and strike out at those who would divide China, leaving it weak for foreigners to prey upon. Already the banners are in the streets, and $COUNTRY$'s generals are saying now is the time to launch an offensive.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC131741;$FROMCOUNTRY$ has answered the call, and will unite their forces with ours.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC131740;The leaders of the Kuomintang are preparing for their drive on Beijing, and $COUNTRY$ is expected to answer the call. Either we side with Nationalist China now, or we must abandon the Kuomintang cause and seek our own destiny.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC131736;A $COUNTRY_ADJ$ general by the name of Feng Yuxiang has betrayed his superiors and broken off from the Beiyang armies. He and his supporters have taken the territory under their control and formed a new clique, swearing to topple the $COUNTRY_ADJ$ government.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC131735;Now that we are free, we must choose where we stand in the ensuing struggle for the nation's destiny: either side with the Kuomintang and fight for domination of the republic or side with the Beiyang and fight for domination of a united China. Alternatively, we can declare our neutrality in the conflict and let the chips fall where they may.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC131730;Resistance against the $CAPITAL$ government has culminated in a breakdown in authority. What began with several of the outlying warlords declaring their indepedence has ended with the most powerful generals in the Beiyang Army struggling for control. A contest has begun regarding who will control the future of China's destiny, and most are certain it will not be long before the entire nation is engulfed in war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC131720;Warlord influence has begun to spread into $STATENAME$. These generals are still loyal to $COUNTRY$, but it is becoming increasingly apparent that they are taking control of a significant portion of the country. Officials in $CAPITAL$ are alarmed.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC131715;Our efforts to modernize the Beiyang army have borne fruit, but this has necessitated the division of authority among regional forces. The generals in charge of these forces, 'warlords' as some call them, have been gaining a great deal of power. They are part of the Beiyang Army, but fight amongst themselves... And, far worse, are critical of the $COUNTRY_ADJ$ government. We will need to watch these generals carefully.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTDESC131714;$FROMCOUNTRY_ADJ$ have refused the arrangements made at the Simla Convention, and our relations with them have cooled as a result.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC131713;$FROMCOUNTRY_ADJ$ have agreed to the arrangements made at the Simla Convention, and our relations with them have improved as a result-- not to mention our prestige.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC131712;British diplomats have approached the $COUNTRY_ADJ$ government, hoping to broker a peaceful arrangement between Tibet and $COUNTRY$ now that Tibet is independent. No doubt they intend to gain influence and territory in Tibet, as well as an ally against $COUNTRY_ADJ$ aggression,, but the prospect of war should the negotiations fail seems likely.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC131711;British diplomats have approached the Tibet government, hoping to broker a peaceful arrangement between Tibet and China now that Tibet is independent. No doubt they intend to gain influence and territory in our nation, as well as an ally against Chinese aggression,, but the prospect of war should the negotiations fail seems likely.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC131710;In a display of diplomatic force, $FROMCOUNTRY_ADJ$ diplomats have forced $COUNTRY$ to sign a treaty with them, forcing numerous trade as well as territory concessions.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC131709;An incident that began with drunken sailors murdering a Chinese man has escalated into a larger crisis with the Qin government. We have insisted that these sailors be tried by a British judge, the barbaric Chinese judicial system would result in these men getting anything but a fair trial. The chinese have demanded the men be turned over, and what's more that they be given the right to punish British citizens as needed. The confrontation has resulted in larger trade sanctions being applied against British merchants, and threats of worse. Our prestige as an Empire to be reckoned with is being threatened.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC99016;$FROMCOUNTRY$ has submitted to the intervening powers, signing a treaty that promises to forcibly dismantle the Boxers and pay reparations for the atrocities committed in their name, and explicitly supported by the $FROMCOUNTRY_ADJ$ government.;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC99015;We are forced to submit to the foreign demands, signing a treaty with the $FROMCOUNTRY_ADJ$ generals and representatives from all the great powers. The Righteous Harmony Society will be forcibly disbanded, its leaders executed or imprisoned, and our government is once again humiliated.;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC99011;The Boxer situation in $FROMCOUNTRY$ has reached a head: the Chinese nationalists have entered Peking, laying siege to the Legation Quarter and putting the lives of dozes of $COUNTRY_ADJ$ merchants and dignitaries at risk. The Qin government has looked the other way, an act that is seen by the $COUNTRY_ADJ$ government as a declaration of war. Many are calling upon us to intervene in order to protect $COUNTRY_ADJ$ citizens from these barbarians.;;;;;;;;;;;;x,,,,,,,,,,,
EVTDESC99010;The Boxers have reached the capital of $COUNTRY$, streaming into $CAPITAL$ to attack foreigners, and, far more noteworthy, they have laid siege to the Legation Quarter. Hundreds of foreign dignitaries and merchants reside within. If we do not step in to protect them, it will be seen as a declaration of support for the Boxers and an act of war against the great powers. If we do, the Boxers will see it as a betrayal of their cause and perhaps even rise up in rebellion against us. They have forced our hand now, however, and we have no choice but to act.;;;;;;;;;;;;x,,,,,,
EVTDESC99006;A group of Chinese nationalists known as the 'Boxers', intent on driving all western influence out of $FROMCOUNTRY$, have attacked a group of $COUNTRY_ADJ$ citizens. Several were slain, while others were forced to flee for their lives. Worse, the Qin government has done nothing about it. They are looking the other way while these atrocities are being committed upon our people.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC99005;Throughout all of $STATENAME$, the Boxers are attacking western influence. Smugglers, missionaries, opium peddlers… anyone they can apprehend is being slain or forced to flee for their lives. We have a choice: either look the other way, risking anger from the great powers for these 'atrocities', or send in forces to suppress the Boxers and risk the anger of our own people.;;;;;;;;;;;;x,,,,,,,,
EVTDESC99001;An attack upon a foreign merchant in $PROVINCENAME$ has signaled the arrival of the Boxer movement to $STATENAME$. Already the flags of the Righteous Harmony Society have been spotted, their followers recruiting fellow Chinese to support the Qin government in their struggle.;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC99000;'Support the Qin! Destroy the Foreign!'/n/nMany Chinese are growing enraged at the continuing encroachment of westerners into the Empire. They walk freely, spread Christianity with impunity, and ignore Imperial laws. A movement called the Righteous Harmony Society, known to foreigners as 'Boxers', has appeared, their mission to drive western influence out of the Qin Empire by any means necessary. Some are worried that attacks upon westerners could bring foreign anger down upon us, but there are those who see this as a good thing. Anger against westerners, even if it means a degree of chaos and disruption in our provinces, means support for the Qin government.;;;;;;;;;;;;x,,,,,,,
EVTDESC98905;With the arrival of the $COUNTRY_ADJ$ colonial governor in $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger colonial administration of Rupert's Land.;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC98900;With the arrival of the $COUNTRY_ADJ$ colonial governor in $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger South African colonial administration.;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC98896;With the arrival of the $COUNTRY_ADJ$ colonial governor in $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Klöterische colony.;;;;;;;;;;;;x
EVTDESC98895;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Ugandan colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98893;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Burkinabe colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98892;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Ghanian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98891;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into Morrocco.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98890;With the arrival of the $COUNTRY_ADJ$ colonial governor in $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Mauretanian colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98885;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Mozambican colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98884;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Angolan colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98883;With the arrival of the $COUNTRY_ADJ$ colonial governor in $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Zanzibar colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98880;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Libyan colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98875;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Malian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98870;With the arrival of the $COUNTRY_ADJ$ colonial governor in $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Tanganyikan colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98865;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Kenyan colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98860;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Zambian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98858;With the arrival of the $COUNTRY_ADJ$ colonial governor in $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Sudanese colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98852;With the arrival of the $COUNTRY_ADJ$ colonial governor in $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Central African colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98845;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Free Congo State colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98840;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Congolese colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98837;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Gabonese colony.;;;;;;;;;;;;x,,,,,,,,,
